28	1003	7023	11086	+	1003	7023
79	1004	7023	11079	+	1004	7023
54	1025	7045	11075	-	7045	1025
24	1026	7044	11071	-	7044	1026
80	1005	7023	11066	+	1005	7023
63	1026	7043	11058	-	7043	1026
50	1003	7023	11058	+	1003	7023
68	1025	7043	11055	-	7043	1025
12	1004	7023	11051	+	1004	7023
2	1026	7044	11049	-	7044	1026
1	1025	7044	11045	-	7044	1025
62	1025	7043	11044	-	7043	1025
74	1023	7044	11036	-	7044	1023
105	1025	7044	11034	-	7044	1025
118	1026	7042	11029	-	7042	1026
116	1003	7022	11029	+	1003	7022
8	1004	7023	11029	+	1004	7023
26	1025	7043	11027	-	7043	1025
90	1003	7023	11020	+	1003	7023
69	1025	7044	11018	-	7044	1025
18	1025	7049	11018	-	7049	1025
31	1007	7027	11016	+	1007	7027
3	1026	7046	11010	-	7046	1026
10	1003	7027	11007	+	1003	7027
70	1025	7045	10997	-	7045	1025
11	1017	7027	10997	+	1017	7027
126	1025	7014	10996	-	7014	1025
7	1054	7023	10992	+	1054	7023
75	1005	7024	10988	+	1005	7024
40	1025	7043	10988	-	7043	1025
25	1024	7044	10979	-	7044	1024
17	1005	7038	10979	+	1005	7038
15	1025	7044	10977	-	7044	1025
92	1025	7045	10975	-	7045	1025
120	1026	7042	10968	-	7042	1026
135	1005	7024	10966	+	1005	7024
49	1006	7025	10966	+	1006	7025
84	1025	7047	10955	-	7047	1025
83	1003	7021	10946	+	1003	7021
134	1025	7045	10942	-	7045	1025
121	1025	7043	10942	-	7043	1025
129	1026	7046	10935	-	7046	1026
45	1025	7044	10933	-	7044	1025
142	1025	7046	10931	-	7046	1025
125	1009	7017	10931	+	1009	7017
124	1006	7024	10931	+	1006	7024
58	1024	7045	10931	-	7045	1024
138	1006	7025	10927	+	1006	7025
119	1025	7047	10922	-	7047	1025
98	1030	7049	10916	-	7049	1030
35	1028	7047	10916	-	7047	1028
139	1024	7041	10914	-	7041	1024
87	1028	7043	10914	-	7043	1028
27	1025	7043	10914	-	7043	1025
136	1025	7043	10909	-	7043	1025
95	1027	7045	10909	-	7045	1027
77	1003	7024	10909	+	1003	7024
30	1004	7024	10907	+	1004	7024
146	1028	7045	10903	-	7045	1028
112	1006	7024	10903	+	1006	7024
21	1025	7034	10903	-	7034	1025
34	1006	7024	10898	+	1006	7024
43	1025	7043	10894	-	7043	1025
101	1025	7046	10892	-	7046	1025
23	1025	7045	10887	-	7045	1025
38	1025	7045	10885	-	7045	1025
141	1005	7024	10883	+	1005	7024
104	1026	7045	10883	-	7045	1026
55	1025	7043	10881	-	7043	1025
53	1025	7046	10881	-	7046	1025
82	1009	7028	10879	+	1009	7028
109	1024	7025	10877	+	1024	7025
48	1006	7031	10877	+	1006	7031
132	1006	7024	10876	+	1006	7024
106	1025	7044	10872	-	7044	1025
29	1006	7025	10872	+	1006	7025
100	1026	7042	10868	-	7042	1026
102	1025	7042	10864	-	7042	1025
76	1006	7024	10864	+	1006	7024
71	1025	7034	10864	-	7034	1025
22	1025	7046	10864	-	7046	1025
110	1004	7024	10863	+	1004	7024
13	1025	7044	10861	-	7044	1025
108	1003	7023	10857	+	1003	7023
144	1027	7046	10855	-	7046	1027
88	1005	7028	10853	+	1005	7028
33	1003	7024	10853	+	1003	7024
44	1027	7047	10852	-	7047	1027
78	1005	7024	10850	+	1005	7024
81	1010	7024	10840	+	1010	7024
99	1027	7045	10839	-	7045	1027
85	1025	7033	10837	-	7033	1025
37	1025	7043	10837	-	7043	1025
115	1002	7024	10833	+	1002	7024
72	1027	7045	10831	-	7045	1027
73	1026	7044	10829	-	7044	1026
14	1030	7047	10818	-	7047	1030
32	1005	7024	10816	+	1005	7024
52	1006	7017	10815	+	1006	7017
64	1006	7025	10811	+	1006	7025
111	1006	7023	10809	+	1006	7023
143	1024	7045	10804	-	7045	1024
96	1030	7038	10796	-	7038	1030
137	1025	7030	10792	-	7030	1025
107	1030	7024	10792	+	1030	7024
67	1010	7025	10787	+	1010	7025
56	1026	7045	10783	-	7045	1026
39	1030	7052	10783	-	7052	1030
94	1027	7041	10757	-	7041	1027
51	1005	7022	10754	+	1005	7022
57	1030	7052	10750	-	7052	1030
5	1015	7023	10748	+	1015	7023
9	1006	7024	10743	+	1006	7024
131	1008	7013	10741	+	1008	7013
113	1003	7021	10732	+	1003	7021
122	1025	6970	10683	-	6970	1025
97	1025	7012	10682	-	7012	1025
123	1025	7044	10661	-	7044	1025
41	1028	7047	10623	-	7047	1028
114	1006	7024	10610	+	1006	7024
42	1025	7043	10599	-	7043	1025
47	1006	7024	10582	+	1006	7024
145	1025	7044	10541	-	7044	1025
133	1003	7023	10530	+	1003	7023
20	1025	6817	10521	-	6817	1025
36	1030	7046	10517	-	7046	1030
103	1025	7043	10482	-	7043	1025
117	1003	7018	10449	+	1003	7018
140	1025	7046	10443	-	7046	1025
86	1025	7049	10438	-	7049	1025
128	1003	7024	10427	+	1003	7024
66	1006	7024	10418	+	1006	7024
89	1004	7023	10414	+	1004	7023
4	1025	7036	10399	-	7036	1025
59	1026	7041	10381	-	7041	1026
65	1004	7012	10253	+	1004	7012
127	1005	7026	10237	+	1005	7026
19	1026	7041	10214	-	7041	1026
60	1025	7041	10168	-	7041	1025
16	1007	7025	10161	+	1007	7025
46	1013	7013	10122	+	1013	7013
130	1098	6499	9915	+	1098	6499
91	1098	6335	9607	+	1098	6335
6	1604	7022	9371	+	1604	7022
61	1945	6651	8248	-	6651	1945
93	1026	4008	5228	-	4008	1026
93	4002	7017	5193	-	7017	4002
11	1	1014	1676	+	1	1014
